Make,Model,Year,Engine_L,Horsepower,Torque_lbft,ZeroTo60,Price_USD
Ford,GT,2022,3.5,660.0,550.0,2.9,500000
Nissan,370Z,2021,3.7,332.0,270.0,4.9,30090
Porsche,Panamera,2022,2.9,325.0,332.0,5.3,87200
Lamborghini,Urus,2021,4.0,641.0,626.0,3.5,218000
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.3,3000000
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,274280
Audi,RS 7,2021,4.0,591.0,590.0,3.5,114000
McLaren,570S,2021,3.8,562.0,443.0,3.1,191000
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,142086
Jaguar,F-Type,2022,5.0,575.0,516.0,3.5,103200
Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,177700
Lamborghini,Aventador S,2021,6.5,729.0,509.0,2.9,417650
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS7,2022,4.0,591.0,590.0,3.5,115045
McLaren,600LT,2021,3.8,592.0,457.0,2.9,256500
BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895
Mercedes-Benz,S63 AMG,2021,4.0,603.0,664.0,3.4,152500
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,69995
Ford,GT,2022,3.5,660.0,550.0,2.9,500000
Porsche,Taycan Turbo S,2021,4.0,750.0,774.0,2.6,185000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218009
Ferrari,812 Superfast,2021,6.5,789.0,530.0,2.9,363730
Audi,R8 Spyder,2022,5.2,562.0,406.0,3.5,183300
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000
BMW,M4,2022,3.0,473.0,406.0,4.1,73795
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,183000
Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,60995
Aston Martin,DB11,2022,5.2,630.0,516.0,3.5,207000
Bentley,Continental GT,2022,6.0,626.0,664.0,3.5,203825
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500
Lotus,Evora GT,2021,3.5,416.0,317.0,3.7,99800
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,100200
Alfa Romeo,4C,2020,1.7,237.0,258.0,4.1,67150
Audi,RS5,2022,2.9,444.0,443.0,3.7,77250
BMW,M2 Competition,2021,3.0,405.0,406.0,4.0,58900
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695
Dodge,Charger SRT Hellcat,2022,6.2,717.0,650.0,3.6,71490
Ford,GT,2022,3.5,660.0,550.0,2.8,500000
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950
Maserati,GranTurismo,2020,4.7,454.0,384.0,4.8,150400
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.6,47820
Rolls-Royce,Wraith,2022,6.8,624.0,605.0,4.4,330000
Subaru,WRX STI,2021,2.5,310.0,290.0,4.6,38170
Tesla,Model S Plaid,2022,4.0,1020.0,1050.0,1.9,131190
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000
Lamborghini,Aventador,2021,6.5,729.0,507.0,2.9,393695
Ferrari,Portofino,2022,3.9,591.0,413.0,3.3,218750
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000
McLaren,600LT,2021,3.8,592.0,457.0,2.8,256500
BMW,M2,2022,3.0,405.0,406.0,4.0,58900
Mercedes-Benz,AMG GT,2021,4.0,523.0,494.0,3.8,118500
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,40590
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,52720
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.6,45000
Porsche,Panamera Turbo,2022,4.0,620.0,604.0,3.1,174300
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,222004
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000
Audi,TT RS,2022,2.5,394.0,354.0,3.4,67895
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,62290
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,304995
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,93050
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,101200
BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895
Audi,RS 5 Coupe,2021,2.9,444.0,443.0,3.7,75100
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64195
Lotus,Evora GT,2022,3.5,416.0,317.0,3.8,105000
McLaren,GT,2021,4.0,612.0,465.0,3.1,211000
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622.0,468.0,3.5,275000
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,2998000
Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,3000000
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Lamborghini,Aventador SVJ,2020,6.5,770.0,531.0,2.8,573966
Rimac,C_Two,2022,4.0,1914.0,1732.0,1.85,2400000
Pagani,Huayra Roadster BC,2021,6.0,791.0,774.0,2.5,3500000
Pininfarina,Battista,2022,4.0,1874.0,1696.0,1.9,2500000
Acura,NSX,2022,3.5,573.0,476.0,2.9,157500
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,219800
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,70000
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,61600
Kia,Stinger,2022,3.3,368.0,376.0,4.7,52200
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,134300
Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,102550
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,76400
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000
BMW,M5,2022,4.4,600.0,553.0,3.2,103500
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,69000
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417826
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000
Mercedes-Benz,SLS AMG,2021,4.0,577.0,516.0,3.6,247500
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45790
Porsche,Taycan,2022,4.0,616.0,774.0,2.6,79900
Tesla,Model S,2022,4.0,1020.0,1050.0,1.98,119000
Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.2,307820
Bentley,Continental GT,2022,4.0,542.0,568.0,3.4,207825
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.3,2998000
McLaren,570S,2021,3.8,562.0,443.0,3.1,202500
Porsche,Taycan Turbo S,2021,4.0,750.0,774.0,2.6,185000
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417826
Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.8,276550
Audi,RS 7,2022,4.0,591.0,590.0,3.5,114000
BMW,M2 CS,2022,3.0,444.0,406.0,4.0,84595
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.2,275000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
Jaguar,F-Type,2021,5.0,575.0,516.0,3.5,103200
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,96950
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.8,134300
McLaren,765LT,2021,4.0,755.0,590.0,2.8,358000
Nissan,370Z,2021,3.7,332.0,270.0,5.0,30000
Pagani,Huayra,2021,6.0,730.0,738.0,3.0,2600000
Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,180000
Tesla,Model S Plaid,2021,4.0,1020.0,1050.0,1.9,131100
Aston Martin,DB11,2021,4.0,503.0,513.0,4.0,201495
Dodge,Challenger Hellcat Redeye,2022,6.2,797.0,707.0,3.4,82190
Lotus,Evora,2021,3.5,416.0,317.0,3.8,96950
Acura,NSX,2021,3.5,573.0,476.0,2.7,159495
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,76950
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,202500
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,70100
Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,3000000
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.8,132795
McLaren,GT,2022,4.0,612.0,465.0,3.1,215500
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516.0,3.7,80900
Porsche,718 Cayman,2021,2.0,300.0,280.0,4.9,59900
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.3,330000
Tesla,Roadster,2022,4.0,591.0,509.0,1.9,200000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,40000
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500
Aston Martin,DB11,2021,5.2,630.0,516.0,3.7,209000
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,202500
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000
Dodge,Challenger Hellcat,2022,6.2,717.0,656.0,3.5,67500
Jaguar,F-Type,2021,5.0,575.0,516.0,3.5,103200
Koenigsegg,Jesko,2022,5.0,1280.0,1106.0,2.5,2800000
Lexus,LC,2021,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104200
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,133050
McLaren,570S,2021,3.8,562.0,443.0,3.1,196350
Mercedes-Benz,AMG C63,2022,4.0,503.0,516.0,3.8,69900
Pagani,Huayra BC,2021,6.0,791.0,774.0,2.7,2600000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102900
Rimac,Nevera,2022,4.0,1914.0,1696.0,1.85,2400000
Rolls-Royce,Wraith,2021,6.7,624.0,605.0,4.4,338000
Tesla,Roadster,2022,4.0,591.0,509.0,1.9,200000
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,150000
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,218400
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707.0,3.5,73000
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104970
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,132400
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,101200
Tesla,Roadster,2023,4.0,591.0,737.0,3.5,200000
Alpine,A110,2021,1.8,288.0,236.0,4.4,71500
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000
BMW,M4,2021,3.0,473.0,406.0,4.1,71800
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64195
Dodge,Viper,2017,8.4,645.0,600.0,3.3,118795
Ferrari,Portofino,2021,3.9,591.0,560.0,3.5,218750
Jaguar,F-Type,2022,3.0,296.0,295.0,5.4,61600
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,517700
McLaren,600LT,2021,3.8,592.0,457.0,2.8,240000
Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,221400
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,202500
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64100
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200
Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,2800000
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,150980
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Mercedes-AMG,C 63 S,2022,4.0,503.0,516.0,3.7,81550
Pagani,Huayra,2021,6.0,764.0,738.0,2.8,3500000
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102550
Rimac,C_Two,2022,4.0,1888.0,1696.0,1.8,2400000
Rolls-Royce,Wraith,2021,6.6,624.0,642.0,4.4,330000
Tesla,Roadster,2022,4.0,591.0,0.0,1.9,200000
Toyota,Supra,2022,3.0,382.0,368.0,3.9,43090
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,207825
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64195
Jaguar,F-Type,2022,3.0,380.0,339.0,4.8,62250
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,134300
McLaren,570S,2022,3.8,562.0,443.0,2.9,204550
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000
Tesla,Model S Plaid,2021,4.0,1020.0,1050.0,1.9,141190
Audi,RS 5,2021,2.9,444.0,443.0,3.5,75100
BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64995
Dodge,Viper ACR,2017,8.4,645.0,600.0,3.3,126190
Ford,GT,2021,3.5,660.0,550.0,2.9,500000
Porsche,Taycan 4S,2022,2.5,482.0,472.0,3.8,102900
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417650
